sample	method	total	rDNA	peri	arm	cen
BA1	MAPQ0	6791	5887	733	84	87
BA1	MAPQ10	4322	22	1747	2531	22
BA1	gDNA	8210	7574	419	111	106
BA2	MAPQ0	7911	7009	714	115	73
BA2	MAPQ10	5712	21	1810	3860	21
BA2	gDNA	8803	8175	383	123	122
old_BA1_BA2	MAPQ0	8329	7849	427	19	34
old_BA1_BA2	MAPQ10	4028	39	2410	1528	51
old_BA1_BA2	gDNA	8757	8588	100	25	44
BA1_WT	MAPQ0	5764	4748	794	128	94
BA1_WT	MAPQ10	5243	19	1626	3586	12
BA1_WT	gDNA	7443	6675	504	158	106
BA2_OX_40	MAPQ0	7236	6122	801	246	67
BA2_OX_40	MAPQ10	6527	25	1699	4792	11
BA2_OX_40	gDNA	7878	7018	501	259	100
BA2_OX_80_1	MAPQ0	7198	5991	804	355	48
BA2_OX_80_1	MAPQ10	5799	22	1535	4233	9
BA2_OX_80_1	gDNA	7809	6943	436	339	91
BA2_OX_80_2	MAPQ0	7002	6106	708	178	10
BA2_OX_80_2	MAPQ10	4558	25	1263	3264	6
BA2_OX_80_2	gDNA	7654	7096	281	182	95
BA1	input	8059	7665	224	91	79
BA2	input	8880	8430	241	144	65
BA1_WT	input	7419	6805	338	201	75
BA2_OX_40	input	7589	6863	355	310	61
BA2_OX_80_1	input	7621	6818	325	431	47
BA2_OX_80_2	input	7300	6913	173	202	12
