sample,biotype,dsb_umis
BA1,ncRNA,686
BA1,SRP_RNA,3
BA1,misc_RNA,29997
BA1,antisense_RNA,136067
BA1,lncRNA,93792
BA1,rRNA,5524829
BA1,snoRNA_primary_transcript,1985
BA1,telomerase_RNA,1
BA1,pseudogene,177
BA1,miRNA,5479
BA1,RNase_MRP_RNA,17
BA1,snoRNA,2650
BA1,tRNA,1225
BA1,protein_coding,2576038
BA1,snRNA_primary_transcript,237
BA1,snRNA,240
BA2,ncRNA,297
BA2,misc_RNA,18946
BA2,antisense_RNA,66876
BA2,lncRNA,47415
BA2,rRNA,3404997
BA2,snoRNA_primary_transcript,947
BA2,telomerase_RNA,4
BA2,pseudogene,125
BA2,miRNA,2815
BA2,RNase_MRP_RNA,7
BA2,snoRNA,1206
BA2,tRNA,550
BA2,protein_coding,1276562
BA2,snRNA_primary_transcript,142
BA2,snRNA,102
old_BA1_BA2,ncRNA,210
old_BA1_BA2,misc_RNA,30722
old_BA1_BA2,antisense_RNA,29629
old_BA1_BA2,lncRNA,35965
old_BA1_BA2,rRNA,5499390
old_BA1_BA2,snoRNA_primary_transcript,464
old_BA1_BA2,pseudogene,52
old_BA1_BA2,miRNA,1724
old_BA1_BA2,RNase_MRP_RNA,9
old_BA1_BA2,snoRNA,839
old_BA1_BA2,tRNA,390
old_BA1_BA2,protein_coding,580813
old_BA1_BA2,snRNA_primary_transcript,51
old_BA1_BA2,snRNA,60
