sample,region,bliss_reads,gdna_reads,region_Mb,fold_nogdna,gdna_fold,enrichment_vs_gdna,log2
BA1,arms,3092360,51900126,87.95,0.46,0.99,0.463,-1.112
BA1,pericentromere,1797791,19929724,33.12,0.70,1.01,0.700,-0.514
BA1,centromere,333250,9802276,12.15,0.36,1.35,0.264,-1.922
BA1,nor_45s,5763199,3651894,9.26,8.07,0.66,12.250,3.615
BA1,rdna_5s,80102,406040,0.90,1.15,0.75,1.531,0.615
BA2,arms,1533486,51900126,87.95,0.39,0.99,0.400,-1.323
BA2,pericentromere,950545,19929724,33.12,0.65,1.01,0.645,-0.633
BA2,centromere,220296,9802276,12.15,0.41,1.35,0.304,-1.718
BA2,nor_45s,3601577,3651894,9.26,8.79,0.66,13.338,3.737
BA2,rdna_5s,52481,406040,0.90,1.31,0.75,1.748,0.806
old_BA1_BA2,arms,739784,51900126,87.95,0.17,0.99,0.168,-2.577
old_BA1_BA2,pericentromere,583764,19929724,33.12,0.35,1.01,0.345,-1.537
old_BA1_BA2,centromere,156444,9802276,12.15,0.25,1.35,0.188,-2.413
old_BA1_BA2,nor_45s,5771300,3651894,9.26,12.25,0.66,18.587,4.216
old_BA1_BA2,rdna_5s,32883,406040,0.90,0.71,0.75,0.952,-0.070
