sample,region,bliss_reads,gdna_reads,region_Mb,fold_nogdna,gdna_fold,enrichment_vs_gdna,log2
BA1,arms,3122395,56243180,87.95,0.45,1.05,0.427,-1.229
BA1,pericentromere,1814699,21273394,33.12,0.69,1.05,0.655,-0.609
BA1,centromere,329561,5752715,12.15,0.34,0.78,0.440,-1.184
BA1,nor_45s,6062530,3778379,9.26,8.24,0.67,12.329,3.624
BA1,rdna_5s,80806,397538,0.90,1.12,0.72,1.562,0.643
BA2,arms,1560352,56243180,87.95,0.38,1.05,0.367,-1.447
BA2,pericentromere,972727,21273394,33.12,0.64,1.05,0.604,-0.727
BA2,centromere,225406,5752715,12.15,0.40,0.78,0.518,-0.949
BA2,nor_45s,3827890,3778379,9.26,8.94,0.67,13.390,3.743
BA2,rdna_5s,55825,397538,0.90,1.34,0.72,1.856,0.892
old_BA1_BA2,arms,749394,56243180,87.95,0.16,1.05,0.150,-2.733
old_BA1_BA2,pericentromere,591659,21273394,33.12,0.33,1.05,0.314,-1.671
old_BA1_BA2,centromere,158578,5752715,12.15,0.24,0.78,0.311,-1.684
old_BA1_BA2,nor_45s,6209019,3778379,9.26,12.40,0.67,18.557,4.214
old_BA1_BA2,rdna_5s,34383,397538,0.90,0.70,0.72,0.977,-0.034
