sample,region,sites,events,mapped_bases,reg_bp,sites_per_Mb,sites_per_1k_reads,sites_per_mapped_Mb,reads_per_site
BA1,arms,2939420,3092307,381681427,87951528,33421,950.6,7701,1.05
BA1,pericentromere,1578788,1797720,223083405,33122962,47664,878.2,7077,1.14
BA1,centromere,312781,333233,42084426,12148091,25747,938.6,7432,1.07
BA1,nor_45s,2461553,5763163,752470528,9258664,265865,427.1,3271,2.34
BA1,rdna_5s,68295,80081,9990504,903943,75552,852.8,6836,1.17
BA2,arms,1464193,1533458,192859273,87951528,16648,954.8,7592,1.05
BA2,pericentromere,846375,950510,120582497,33122962,25553,890.4,7019,1.12
BA2,centromere,211984,220290,28573199,12148091,17450,962.3,7419,1.04
BA2,nor_45s,1935221,3601565,475388109,9258664,209017,537.3,4071,1.86
BA2,rdna_5s,46953,52470,6771383,903943,51942,894.9,6934,1.12
old_BA1_BA2,arms,727712,739736,96608047,87951528,8274,983.7,7533,1.02
old_BA1_BA2,pericentromere,548792,583730,76356406,33122962,16568,940.1,7187,1.06
old_BA1_BA2,centromere,151690,156443,20602170,12148091,12487,969.6,7363,1.03
old_BA1_BA2,nor_45s,2773677,5771270,763505545,9258664,299576,480.6,3633,2.08
old_BA1_BA2,rdna_5s,30915,32878,4257156,903943,34200,940.3,7262,1.06
