sample,region,events,sites,region_Mb,events_per_Mb,sites_per_Mb,fold_events,fold_sites
BA1,arms,3032947,2882837,87.95,34484,32778,1.13,1.13
BA1,pericentromere,1228082,1149412,33.12,37076,34701,1.21,1.20
BA1,centromere,64987,62764,12.15,5350,5167,0.17,0.18
BA1,nor_45s,38893,24925,9.26,4201,2692,0.14,0.09
BA1,rdna_5s,13551,12205,0.90,14991,13502,0.49,0.47
BA2,arms,1506061,1438766,87.95,17124,16359,1.14,1.14
BA2,pericentromere,585020,554843,33.12,17662,16751,1.17,1.17
BA2,centromere,34271,33538,12.15,2821,2761,0.19,0.19
BA2,nor_45s,21600,15542,9.26,2333,1679,0.15,0.12
BA2,rdna_5s,7017,6535,0.90,7763,7229,0.52,0.50
old_BA1_BA2,arms,716167,700266,87.95,8143,7962,1.04,1.05
old_BA1_BA2,pericentromere,344000,332707,33.12,10386,10045,1.33,1.33
old_BA1_BA2,centromere,25454,25078,12.15,2095,2064,0.27,0.27
old_BA1_BA2,nor_45s,26883,20783,9.26,2904,2245,0.37,0.30
old_BA1_BA2,rdna_5s,3428,3285,0.90,3792,3634,0.49,0.48
