sample,region,reg_bp,mappable_bp,mappable_pct,all_sites,all_sites_per_Mb_DNA,q10_sites,q10_events,q10_sites_per_mappable_Mb,q10_reads_per_site
BA1,arms,87951528,85748147,97.49,2939420,33421,2803189,2938870,32691,1.05
BA1,pericentromere,33122962,26678886,80.54,1578788,47664,1060805,1125609,39762,1.06
BA1,centromere,12148091,478002,3.93,312781,25747,26585,27663,55617,1.04
BA1,nor_45s,9258664,187923,2.03,2461553,265865,7156,14615,38079,2.04
BA1,rdna_5s,903943,47565,5.26,68295,75552,7792,8666,163818,1.11
BA2,arms,87951528,85748147,97.49,1464193,16648,1383261,1443454,16132,1.04
BA2,pericentromere,33122962,26678886,80.54,846375,25553,508078,532692,19044,1.05
BA2,centromere,12148091,478002,3.93,211984,17450,12007,12330,25119,1.03
BA2,nor_45s,9258664,187923,2.03,1935221,209017,4194,8119,22318,1.94
BA2,rdna_5s,903943,47565,5.26,46953,51942,4144,4415,87123,1.07
old_BA1_BA2,arms,87951528,85748147,97.49,727712,8274,685414,694661,7993,1.01
old_BA1_BA2,pericentromere,33122962,26678886,80.54,548792,16568,308547,315168,11565,1.02
old_BA1_BA2,centromere,12148091,478002,3.93,151690,12487,9594,9742,20071,1.02
old_BA1_BA2,nor_45s,9258664,187923,2.03,2773677,299576,5287,9156,28134,1.73
old_BA1_BA2,rdna_5s,903943,47565,5.26,30915,34200,1945,1987,40891,1.02
