sample,comparison,norm,n_gene,n_TE,median_gene,median_TE,ratio_TE_over_gene,ratio_CI_low,ratio_CI_high,cliffs_delta,U,p_value
BA1,genome_noNOR,raw,26865,12311,36.918,34.898,0.94527,0.92861,0.9674,-0.07791,1.5248e+08,2.6546e-35
BA1,genome_noNOR,gdna_norm,26865,12311,6.4683,6.4255,0.99338,0.9729,1.0085,-0.028738,1.6062e+08,4.7988e-06
BA1,arms_only,raw,23217,3372,36.536,24.557,0.67215,0.64786,0.69704,-0.32489,2.6426e+07,9.1146e-205
BA1,arms_only,gdna_norm,23217,3372,6.3834,4.3913,0.68792,0.66227,0.72153,-0.28968,2.7805e+07,3.3159e-163
BA2,genome_noNOR,raw,26865,12311,17.495,16.189,0.92535,0.90798,0.94172,-0.08866,1.5071e+08,3.3207e-45
BA2,genome_noNOR,gdna_norm,26865,12311,3.0598,3.0088,0.98331,0.96339,1.0008,-0.039724,1.588e+08,2.5856e-10
BA2,arms_only,raw,23217,3372,17.229,12.681,0.73605,0.70791,0.76213,-0.25784,2.9051e+07,1.0002e-129
BA2,arms_only,gdna_norm,23217,3372,3.0043,2.273,0.7566,0.73272,0.78917,-0.22344,3.0398e+07,6.6337e-98
old_BA1_BA2,genome_noNOR,raw,26865,12311,8.167,9.4229,1.1538,1.135,1.1742,0.12201,1.8554e+08,5.5407e-84
old_BA1_BA2,genome_noNOR,gdna_norm,26865,12311,1.4291,1.7383,1.2164,1.1979,1.2398,0.16097,1.9199e+08,9.6315e-145
old_BA1_BA2,arms_only,raw,23217,3372,8.0465,7.286,0.90548,0.87759,0.93917,-0.089282,3.5649e+07,4.8198e-17
old_BA1_BA2,arms_only,gdna_norm,23217,3372,1.4062,1.3184,0.93759,0.90669,0.96641,-0.057533,3.6892e+07,6.405e-08
