chr,start,end,b,fold,padj,cat
Chr1,7071000,7072000,283,5.25332936409738,3.20415073017747e-105,Arm
Chr1,8784000,8785000,294,4.72216124589207,2.07067344059664e-98,Arm
Chr1,8796000,8797000,339,5.61964622413041,5.80197891028767e-134,Arm
Chr1,8812000,8813000,335,5.03643296461688,1.82930804361065e-119,Arm
Chr1,8823000,8824000,298,5.96214327936082,3.42290790359534e-124,Arm
Chr1,8838000,8839000,273,4.24489437326973,1.23518721079295e-81,Arm
Chr1,8852000,8853000,288,5.25119918362188,5.04499063380774e-107,Arm
Chr1,13669000,13670000,441,6.40054141468266,9.71489512936002e-195,Pericentromere
Chr1,13893000,13894000,257,5.86012596822609,1.27637901173048e-105,Pericentromere
Chr1,14802000,14803000,469,6.85963788739399,5.12603806643519e-219,Pericentromere
Chr1,14803000,14804000,352,4.32112659313889,4.18910238047079e-107,Pericentromere
Chr1,17627000,17628000,454,6.76529169106923,1.03214970262104e-209,Pericentromere
Chr1,18201000,18202000,339,6.57067164767383,3.58749967813648e-153,Pericentromere
Chr1,18569000,18570000,600,9.39400808049976,0,Pericentromere
Chr1,18812000,18813000,304,5.66468713125256,4.34154339620571e-121,Pericentromere
Chr1,19728000,19729000,349,5.42556974200798,1.5671020798636e-133,Pericentromere
Chr1,23386000,23387000,229,4.4472064092064,3.60012108989324e-72,Arm
Chr1,24042000,24043000,360,4.67609866964317,4.1392259428701e-119,Arm
Chr2,0,1000,628,9.92789296066541,0,45S rDNA
Chr2,1000,2000,253,4.03996794620321,1.35760811292811e-71,45S rDNA
Chr2,3000,4000,2712,57.8928122397594,0,45S rDNA
Chr2,4000,5000,261,5.12784238238738,6.79414944648209e-95,45S rDNA
Chr2,5000,6000,313,9.3179503729454,8.03188863963916e-183,45S rDNA
Chr2,8000,9000,203,6.637432579086,8.31172894736876e-93,45S rDNA
Chr2,9000,10000,219,5.8548749661151,4.72351733555783e-90,45S rDNA
Chr2,10000,11000,396,7.33836068632677,5.12210695761476e-195,45S rDNA
Chr2,12000,13000,3289,14.6917963705121,0,45S rDNA
Chr2,13000,14000,4290,85.6126840586379,0,45S rDNA
Chr2,14000,15000,5377,116.875955338365,0,45S rDNA
Chr2,15000,16000,8329,190.275825727705,0,45S rDNA
Chr2,16000,17000,4584,133.042305788008,0,45S rDNA
Chr2,17000,18000,3369,67.4615356213085,0,45S rDNA
Chr2,18000,19000,6509,151.975580548274,0,45S rDNA
Chr2,19000,20000,6204,112.017768299434,0,45S rDNA
Chr2,20000,21000,17087,351.541572518457,0,45S rDNA
Chr2,21000,22000,6632,53.3625166321513,0,45S rDNA
Chr2,22000,23000,11888,166.328954224121,0,45S rDNA
Chr2,23000,24000,6405,98.0721690744257,0,45S rDNA
Chr2,24000,25000,5204,126.422891157449,0,45S rDNA
Chr2,25000,26000,6642,190.794386580333,0,45S rDNA
