chr	start	end	compartment	satellite	gene	Rloop_pos	RAD51_pos	RPA1A_pos	gH2AX_pos
Chr1	4579000	4580000	arm	0	1	1	1	1	0
Chr1	8465000	8466000	arm	0	0	1	0	0	0
Chr1	8784000	8785000	arm	1	1	1	0	1	0
Chr1	8796000	8797000	arm	0	0	0	0	1	1
Chr1	8812000	8813000	arm	0	0	0	0	0	0
Chr1	8823000	8824000	arm	1	1	1	1	1	0
Chr1	8825000	8826000	arm	0	1	0	0	0	0
Chr1	8838000	8839000	arm	0	0	1	1	1	0
Chr1	8852000	8853000	arm	1	0	1	1	1	0
Chr1	8854000	8855000	arm	0	0	0	0	0	0
Chr1	9589000	9590000	arm	0	1	0	1	1	1
Chr1	9593000	9594000	arm	0	0	0	0	0	0
Chr1	9612000	9613000	arm	0	1	1	0	0	0
Chr1	11783000	11784000	arm	0	1	1	1	1	0
Chr1	11818000	11819000	arm	0	1	0	1	0	0
Chr1	13523000	13524000	peri	0	0	1	0	0	0
Chr1	13669000	13670000	peri	0	0	1	0	1	1
Chr1	14802000	14803000	peri	0	0	1	0	0	1
Chr1	14803000	14804000	peri	0	0	1	0	1	1
Chr1	17627000	17628000	peri	0	0	0	1	1	1
Chr1	18197000	18198000	peri	0	0	1	0	1	0
Chr1	18201000	18202000	peri	0	0	1	1	1	1
Chr1	18202000	18203000	peri	0	0	1	0	0	1
Chr1	18569000	18570000	peri	0	0	1	0	1	1
Chr1	19728000	19729000	peri	0	1	1	0	0	1
Chr1	23969000	23970000	arm	0	1	1	0	0	0
Chr1	24042000	24043000	arm	0	1	1	0	0	0
Chr1	26473000	26474000	arm	0	1	1	0	0	1
Chr1	26474000	26475000	arm	0	1	0	0	0	0
Chr1	29262000	29263000	arm	0	1	0	0	0	1
Chr1	32580000	32581000	arm	0	1	0	1	1	0
Chr2	0	1000	rDNA	1	0	0	0	0	0
Chr2	1000	2000	rDNA	0	0	0	1	0	0
Chr2	3000	4000	rDNA	0	0	0	1	1	0
Chr2	4000	5000	rDNA	0	0	0	1	1	0
Chr2	5000	6000	rDNA	0	0	0	1	1	0
Chr2	10000	11000	rDNA	0	0	0	0	0	0
Chr2	11000	12000	rDNA	0	0	0	0	1	1
Chr2	12000	13000	rDNA	0	0	0	0	0	1
Chr2	13000	14000	rDNA	0	0	0	0	0	0
Chr2	14000	15000	rDNA	0	0	0	1	1	1
Chr2	15000	16000	rDNA	0	0	0	1	1	0
Chr2	16000	17000	rDNA	0	0	0	0	0	0
Chr2	17000	18000	rDNA	0	0	0	0	0	0
Chr2	18000	19000	rDNA	0	0	0	0	0	0
Chr2	19000	20000	rDNA	0	0	0	1	0	0
Chr2	20000	21000	rDNA	0	0	0	1	1	0
Chr2	21000	22000	rDNA	0	0	1	0	0	0
Chr2	22000	23000	rDNA	0	0	1	0	0	0
Chr2	23000	24000	rDNA	0	0	0	1	0	1
Chr2	24000	25000	rDNA	0	0	0	1	0	1
Chr2	25000	26000	rDNA	0	0	0	1	0	1
Chr2	26000	27000	rDNA	0	0	0	0	0	0
Chr2	27000	28000	rDNA	0	0	1	1	0	0
Chr2	28000	29000	rDNA	0	0	0	0	0	1
Chr2	29000	30000	rDNA	0	0	1	0	0	0
Chr2	30000	31000	rDNA	0	0	0	0	0	0
Chr2	31000	32000	rDNA	0	0	1	0	0	0
Chr2	32000	33000	rDNA	0	0	1	0	0	1
Chr2	33000	34000	rDNA	0	0	0	1	1	1
Chr2	34000	35000	rDNA	0	0	0	1	1	0
Chr2	35000	36000	rDNA	0	0	0	0	0	0
Chr2	38000	39000	rDNA	0	0	1	0	0	0
Chr2	39000	40000	rDNA	0	0	0	0	0	0
Chr2	41000	42000	rDNA	0	0	0	0	0	0
Chr2	42000	43000	rDNA	0	0	0	0	0	1
Chr2	43000	44000	rDNA	0	0	1	0	1	0
Chr2	44000	45000	rDNA	0	0	0	0	1	1
Chr2	45000	46000	rDNA	0	0	0	1	1	0
Chr2	47000	48000	rDNA	0	0	1	0	0	1
Chr2	49000	50000	rDNA	0	0	0	0	0	0
Chr2	51000	52000	rDNA	0	0	0	0	0	0
Chr2	52000	53000	rDNA	0	0	0	0	0	0
Chr2	54000	55000	rDNA	0	0	0	0	0	0
Chr2	55000	56000	rDNA	0	0	0	1	1	0
Chr2	56000	57000	rDNA	0	0	0	0	0	0
Chr2	57000	58000	rDNA	0	0	0	1	1	1
Chr2	59000	60000	rDNA	0	0	0	0	0	0
Chr2	60000	61000	rDNA	0	0	0	0	0	0
Chr2	61000	62000	rDNA	0	0	0	1	0	0
Chr2	62000	63000	rDNA	0	0	0	0	0	0
Chr2	63000	64000	rDNA	0	0	0	1	1	0
Chr2	65000	66000	rDNA	0	0	0	0	0	0
Chr2	66000	67000	rDNA	0	0	0	1	1	0
Chr2	67000	68000	rDNA	0	0	0	0	0	0
Chr2	69000	70000	rDNA	0	0	1	0	0	0
Chr2	70000	71000	rDNA	0	0	0	0	0	0
Chr2	71000	72000	rDNA	0	0	0	0	0	1
Chr2	72000	73000	rDNA	0	0	0	1	0	0
Chr2	73000	74000	rDNA	0	0	0	0	0	1
Chr2	74000	75000	rDNA	0	0	0	1	1	0
Chr2	75000	76000	rDNA	0	0	0	0	0	0
Chr2	77000	78000	rDNA	0	0	0	0	0	0
Chr2	78000	79000	rDNA	0	0	1	1	1	0
Chr2	79000	80000	rDNA	0	0	0	0	1	0
Chr2	80000	81000	rDNA	0	0	0	0	1	1
Chr2	82000	83000	rDNA	0	0	1	0	0	0
Chr2	84000	85000	rDNA	0	0	1	0	0	0
Chr2	85000	86000	rDNA	0	0	0	0	0	0
Chr2	88000	89000	rDNA	0	0	1	1	1	0
Chr2	89000	90000	rDNA	0	0	0	0	0	1
Chr2	90000	91000	rDNA	0	0	0	0	0	0
Chr2	92000	93000	rDNA	0	0	0	0	0	0
Chr2	93000	94000	rDNA	0	0	0	0	0	1
Chr2	94000	95000	rDNA	0	0	0	0	0	0
Chr2	96000	97000	rDNA	0	0	1	0	0	1
Chr2	97000	98000	rDNA	0	0	1	1	0	0
Chr2	98000	99000	rDNA	0	0	0	0	1	0
Chr2	99000	100000	rDNA	0	0	0	1	1	0
Chr2	100000	101000	rDNA	0	0	0	0	0	0
Chr2	101000	102000	rDNA	0	0	0	1	1	0
Chr2	103000	104000	rDNA	0	0	0	0	1	1
Chr2	104000	105000	rDNA	0	0	0	0	0	0
Chr2	107000	108000	rDNA	0	0	1	0	0	0
Chr2	108000	109000	rDNA	0	0	0	0	0	1
Chr2	109000	110000	rDNA	0	0	0	1	1	0
Chr2	110000	111000	rDNA	0	0	0	1	1	0
Chr2	111000	112000	rDNA	0	0	0	0	0	0
Chr2	112000	113000	rDNA	0	0	1	0	0	0
Chr2	113000	114000	rDNA	0	0	0	0	0	0
Chr2	114000	115000	rDNA	0	0	0	0	0	0
Chr2	116000	117000	rDNA	0	0	0	0	0	1
Chr2	118000	119000	rDNA	0	0	0	0	1	1
Chr2	119000	120000	rDNA	0	0	0	0	0	0
Chr2	120000	121000	rDNA	0	0	0	0	0	1
Chr2	121000	122000	rDNA	0	0	0	0	0	0
Chr2	122000	123000	rDNA	0	0	1	0	0	1
Chr2	123000	124000	rDNA	0	0	0	0	0	0
Chr2	124000	125000	rDNA	0	0	0	0	0	0
Chr2	125000	126000	rDNA	0	0	0	1	0	0
Chr2	127000	128000	rDNA	0	0	0	0	0	0
Chr2	128000	129000	rDNA	0	0	0	0	0	0
Chr2	129000	130000	rDNA	0	0	0	0	0	0
Chr2	130000	131000	rDNA	0	0	0	0	0	0
Chr2	131000	132000	rDNA	0	0	0	0	0	1
Chr2	133000	134000	rDNA	0	0	0	0	0	0
Chr2	134000	135000	rDNA	0	0	0	0	0	0
Chr2	135000	136000	rDNA	0	0	0	0	0	0
Chr2	137000	138000	rDNA	0	0	0	1	0	0
Chr2	138000	139000	rDNA	0	0	0	0	0	0
Chr2	139000	140000	rDNA	0	0	0	0	1	0
Chr2	140000	141000	rDNA	0	0	0	0	0	0
Chr2	141000	142000	rDNA	0	0	0	0	0	1
Chr2	142000	143000	rDNA	0	0	1	0	0	1
Chr2	144000	145000	rDNA	0	0	0	0	0	0
Chr2	145000	146000	rDNA	0	0	0	0	0	0
Chr2	146000	147000	rDNA	0	0	0	0	0	0
Chr2	147000	148000	rDNA	0	0	1	1	0	0
Chr2	148000	149000	rDNA	0	0	0	1	0	0
Chr2	149000	150000	rDNA	0	0	0	0	0	1
Chr2	150000	151000	rDNA	0	0	0	1	1	0
Chr2	151000	152000	rDNA	0	0	0	1	1	1
Chr2	152000	153000	rDNA	0	0	0	0	0	0
Chr2	153000	154000	rDNA	0	0	0	0	1	0
Chr2	154000	155000	rDNA	0	0	0	0	0	0
Chr2	156000	157000	rDNA	0	0	0	0	0	0
Chr2	157000	158000	rDNA	0	0	1	0	0	0
Chr2	158000	159000	rDNA	0	0	0	0	0	0
Chr2	159000	160000	rDNA	0	0	0	1	1	0
Chr2	160000	161000	rDNA	0	0	1	0	0	0
Chr2	161000	162000	rDNA	0	0	0	0	0	1
Chr2	163000	164000	rDNA	0	0	0	0	0	1
Chr2	164000	165000	rDNA	0	0	0	0	0	1
Chr2	166000	167000	rDNA	0	0	1	1	0	0
Chr2	168000	169000	rDNA	0	0	0	0	0	1
Chr2	169000	170000	rDNA	0	0	0	1	1	0
Chr2	170000	171000	rDNA	0	0	0	0	0	0
Chr2	171000	172000	rDNA	0	0	0	0	0	0
Chr2	172000	173000	rDNA	0	0	1	0	0	0
Chr2	173000	174000	rDNA	0	0	0	1	1	0
Chr2	176000	177000	rDNA	0	0	0	0	0	0
Chr2	177000	178000	rDNA	0	0	0	0	0	0
Chr2	178000	179000	rDNA	0	0	0	0	1	0
Chr2	179000	180000	rDNA	0	0	0	1	0	1
Chr2	180000	181000	rDNA	0	0	0	0	0	1
Chr2	181000	182000	rDNA	0	0	0	0	0	0
Chr2	183000	184000	rDNA	0	0	0	0	0	0
Chr2	187000	188000	rDNA	0	0	0	0	0	0
Chr2	188000	189000	rDNA	0	0	0	0	0	0
Chr2	189000	190000	rDNA	0	0	0	0	1	0
Chr2	190000	191000	rDNA	0	0	0	0	0	1
Chr2	191000	192000	rDNA	0	0	0	0	0	1
Chr2	193000	194000	rDNA	0	0	0	0	0	0
Chr2	194000	195000	rDNA	0	0	0	0	0	0
Chr2	195000	196000	rDNA	0	0	0	0	0	0
Chr2	196000	197000	rDNA	0	0	1	1	0	0
Chr2	197000	198000	rDNA	0	0	1	1	0	0
Chr2	198000	199000	rDNA	0	0	0	0	1	1
Chr2	199000	200000	rDNA	0	0	0	0	0	0
Chr2	200000	201000	rDNA	0	0	0	0	0	0
Chr2	201000	202000	rDNA	0	0	0	1	1	0
Chr2	202000	203000	rDNA	0	0	0	0	0	1
Chr2	203000	204000	rDNA	0	0	0	0	0	0
Chr2	204000	205000	rDNA	0	0	0	0	0	0
Chr2	205000	206000	rDNA	0	0	0	1	1	0
Chr2	206000	207000	rDNA	0	0	1	1	1	0
Chr2	207000	208000	rDNA	0	0	0	1	0	0
Chr2	210000	211000	rDNA	0	0	1	1	1	0
Chr2	211000	212000	rDNA	0	0	1	0	0	0
Chr2	212000	213000	rDNA	0	0	1	0	1	0
Chr2	213000	214000	rDNA	0	0	0	0	0	0
Chr2	215000	216000	rDNA	0	0	0	1	0	0
Chr2	216000	217000	rDNA	0	0	1	0	0	0
Chr2	217000	218000	rDNA	0	0	0	0	0	1
Chr2	218000	219000	rDNA	0	0	0	0	0	1
Chr2	220000	221000	rDNA	0	0	0	0	0	0
Chr2	222000	223000	rDNA	0	0	0	0	1	1
Chr2	229000	230000	rDNA	0	0	0	0	0	0
Chr2	230000	231000	rDNA	0	0	0	0	0	0
Chr2	231000	232000	rDNA	0	0	0	0	0	0
Chr2	232000	233000	rDNA	0	0	0	0	0	0
Chr2	233000	234000	rDNA	0	0	0	0	0	0
Chr2	234000	235000	rDNA	0	0	0	0	0	1
Chr2	235000	236000	rDNA	0	0	1	1	1	0
Chr2	236000	237000	rDNA	0	0	0	0	0	0
Chr2	237000	238000	rDNA	0	0	0	1	0	1
Chr2	238000	239000	rDNA	0	0	0	0	0	0
Chr2	239000	240000	rDNA	0	0	0	0	1	0
Chr2	240000	241000	rDNA	0	0	1	0	0	0
Chr2	242000	243000	rDNA	0	0	0	1	1	0
Chr2	243000	244000	rDNA	0	0	0	1	1	0
Chr2	244000	245000	rDNA	0	0	1	1	0	1
Chr2	246000	247000	rDNA	0	0	0	1	0	0
Chr2	247000	248000	rDNA	0	0	0	1	0	0
Chr2	248000	249000	rDNA	0	0	0	0	0	0
Chr2	249000	250000	rDNA	0	0	0	0	0	0
Chr2	250000	251000	rDNA	0	0	0	0	0	0
Chr2	251000	252000	rDNA	0	0	0	1	1	0
Chr2	252000	253000	rDNA	0	0	0	0	0	0
Chr2	255000	256000	rDNA	0	0	1	0	0	0
Chr2	256000	257000	rDNA	0	0	0	1	1	0
Chr2	257000	258000	rDNA	0	0	0	1	1	0
Chr2	259000	260000	rDNA	0	0	0	0	0	0
Chr2	261000	262000	rDNA	0	0	0	1	0	0
Chr2	262000	263000	rDNA	0	0	0	0	0	1
Chr2	263000	264000	rDNA	0	0	1	0	0	1
Chr2	265000	266000	rDNA	0	0	1	0	0	0
Chr2	266000	267000	rDNA	0	0	0	1	0	0
Chr2	267000	268000	rDNA	0	0	0	1	1	1
Chr2	268000	269000	rDNA	0	0	0	0	0	0
Chr2	269000	270000	rDNA	0	0	0	0	0	0
Chr2	270000	271000	rDNA	0	0	0	1	1	0
Chr2	271000	272000	rDNA	0	0	0	0	0	0
Chr2	272000	273000	rDNA	0	0	0	0	0	0
Chr2	273000	274000	rDNA	0	0	0	0	0	1
Chr2	278000	279000	rDNA	0	0	0	0	0	0
Chr2	280000	281000	rDNA	0	0	0	0	0	1
Chr2	281000	282000	rDNA	0	0	0	0	0	0
Chr2	282000	283000	rDNA	0	0	0	0	0	0
Chr2	283000	284000	rDNA	0	0	0	0	0	0
Chr2	284000	285000	rDNA	0	0	1	0	0	0
Chr2	285000	286000	rDNA	0	0	0	1	0	0
Chr2	286000	287000	rDNA	0	0	0	0	0	0
Chr2	287000	288000	rDNA	0	0	0	1	1	0
Chr2	288000	289000	rDNA	0	0	0	0	0	0
Chr2	290000	291000	rDNA	0	0	0	0	0	1
Chr2	291000	292000	rDNA	0	0	0	0	0	0
Chr2	292000	293000	rDNA	0	0	0	0	0	0
Chr2	293000	294000	rDNA	0	0	1	1	1	0
Chr2	294000	295000	rDNA	0	0	0	0	1	0
Chr2	295000	296000	rDNA	0	0	0	0	1	0
Chr2	297000	298000	rDNA	0	0	0	0	0	1
Chr2	299000	300000	rDNA	0	0	0	0	0	0
Chr2	300000	301000	rDNA	0	0	0	0	0	0
Chr2	301000	302000	rDNA	0	0	0	1	0	1
Chr2	303000	304000	rDNA	0	0	0	1	0	0
Chr2	304000	305000	rDNA	0	0	0	0	0	0
Chr2	305000	306000	rDNA	0	0	0	1	1	0
Chr2	306000	307000	rDNA	0	0	0	0	0	0
Chr2	307000	308000	rDNA	0	0	0	0	1	0
Chr2	308000	309000	rDNA	0	0	0	0	0	0
Chr2	309000	310000	rDNA	0	0	0	1	1	0
Chr2	310000	311000	rDNA	0	0	0	0	0	0
Chr2	311000	312000	rDNA	0	0	1	0	0	0
Chr2	313000	314000	rDNA	0	0	0	1	1	0
Chr2	314000	315000	rDNA	0	0	0	0	0	0
Chr2	315000	316000	rDNA	0	0	0	0	1	1
Chr2	316000	317000	rDNA	0	0	0	0	0	0
Chr2	317000	318000	rDNA	0	0	0	0	0	0
Chr2	319000	320000	rDNA	0	0	1	1	1	0
Chr2	320000	321000	rDNA	0	0	0	1	1	0
Chr2	321000	322000	rDNA	0	0	1	0	0	0
Chr2	322000	323000	rDNA	0	0	1	0	0	0
